cust_id,lookalikes
C0001,"[('C0024', 1.0), ('C0189', 1.0), ('C0107', 1.0)]"
C0002,"[('C0129', 1.0), ('C0019', 1.0), ('C0076', 1.0)]"
C0003,"[('C0179', 1.0), ('C0190', 1.0), ('C0064', 1.0)]"
C0004,"[('C0045', 1.0), ('C0143', 1.0), ('C0087', 1.0)]"
C0005,"[('C0132', 1.0), ('C0089', 1.0), ('C0192', 1.0)]"
C0006,"[('C0152', 1.0), ('C0011', 1.0), ('C0168', 1.0)]"
C0007,"[('C0085', 1.0), ('C0061', 1.0), ('C0192', 1.0)]"
C0008,"[('C0162', 1.0), ('C0018', 1.0), ('C0182', 1.0)]"
C0009,"[('C0080', 1.0), ('C0020', 1.0), ('C0015', 1.0)]"
C0010,"[('C0047', 1.0), ('C0030', 1.0), ('C0027', 1.0)]"
C0011,"[('C0006', 1.0), ('C0152', 1.0), ('C0183', 1.0)]"
C0012,"[('C0093', 1.0), ('C0046', 1.0), ('C0039', 1.0)]"
C0013,"[('C0108', 1.0), ('C0105', 1.0), ('C0018', 1.0)]"
C0014,"[('C0150', 1.0), ('C0130', 1.0), ('C0078', 1.0)]"
C0015,"[('C0083', 1.0), ('C0020', 1.0), ('C0080', 1.0)]"
C0016,"[('C0040', 1.0), ('C0158', 1.0), ('C0092', 1.0)]"
C0017,"[('C0053', 1.0), ('C0136', 1.0), ('C0102', 1.0)]"
C0018,"[('C0162', 1.0), ('C0108', 1.0), ('C0105', 1.0)]"
C0019,"[('C0088', 1.0), ('C0116', 1.0), ('C0002', 1.0)]"
C0020,"[('C0080', 1.0), ('C0009', 1.0), ('C0015', 1.0)]"
